date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2025-08-13,6466.58,0.497528344673351,9554009566.2,False,0.4920945190227425,True,True,6500.2,True,,,0,False,False
2025-08-14,6468.54,0.5070666789022263,9972658498.35,False,0.4941602530894566,True,True,6484.67,True,,,0,False,False
2025-08-15,6449.8,0.4938450014253651,6559237118.42,False,0.4957571942378294,True,True,6521.789999999999,True,,,0,False,False
2025-08-18,6449.15,0.4791791584417266,7059529380.35,False,0.4943410300663303,True,True,6518.5,True,,,0,False,False
2025-08-19,6411.37,0.46847662054828,5609867335.39,False,0.4901484001243871,True,True,6482.599999999999,True,,,0,False,False
2025-08-20,6395.78,0.4331844438519711,5198012874.39,False,0.4836518613046111,True,True,6419.79,True,,,0,False,False
2025-08-21,6370.17,0.4816484085540034,4671695623.69,False,0.4827178399461165,True,True,6412.63,False,,,0,False,False
2025-08-22,6466.91,0.4610650479001054,7012234646.41,False,0.480833668586874,True,True,6355.9400000000005,False,,,0,False,False
2025-08-25,6439.32,0.4711248068135336,6837265495.67,False,0.4781508249604836,True,True,6368.4800000000005,False,,,0,False,False
2025-08-26,6465.94,0.4834154444820751,7518243815.32,False,0.4776533955592636,True,True,6352.32,False,,,0,False,False
2025-08-27,6481.4,0.4779580739225902,8070047921.08,False,0.4756963684841877,True,True,6348.610000000001,False,,,0,False,False
2025-08-28,6501.86,0.4865584349508358,9268973791.04,False,0.4736455440890486,True,True,6347.030000000001,False,,,0,False,False
2025-08-29,6460.26,0.466972027096476,6587620296.37,False,0.4709582466561596,True,True,6330.09,False,,,0,False,False
2025-09-02,6415.54,0.4481868970603395,5695614425.11,False,0.467859020518021,True,True,6377.039999999999,False,,,0,False,False
2025-09-03,6448.26,0.5028761035829258,6649068413.7,False,0.4712989688214856,True,True,6388.72,False,,,0,False,False
2025-09-04,6502.08,0.4979496688601461,8736257142.04,False,0.477775491322303,True,True,6410.150000000001,False,,,0,False,False
2025-09-05,6481.5,0.5002497323149075,6657444531.0,False,0.4796356236983935,True,True,6400.83,False,,,0,False,False
2025-09-08,6495.15,0.4871428068327681,7112365004.64,False,0.4822433995916597,True,True,6351.46,False,,,0,False,False
2025-09-09,6512.61,0.5030411629936398,8014489416.98,False,0.4854350352096704,True,True,6355.300000000001,False,,,0,False,False
2025-09-10,6532.04,0.4696490047736112,7674128006.46,False,0.484058391238824,True,True,6337.93,False,,,0,False,False
2025-09-11,6587.47,0.4777187934855563,9455767066.19,False,0.4840344631951206,True,True,6393.12,False,,,0,False,False
2025-09-12,6584.29,0.5104082447983005,7705699529.11,False,0.4864194441798671,True,True,6363.55,False,,,0,False,False
2025-09-15,6615.28,0.4769077745344119,8607071955.22,False,0.4874130189236607,True,True,6361.27,False,,,0,False,False
2025-09-16,6606.76,0.4539390673198221,8294768650.55,False,0.487988235949609,True,True,6338.129999999999,False,,,0,False,False
2025-09-17,6600.35,0.4557410999343627,8630734127.09,False,0.4832747355847527,True,True,6338.0599999999995,False,,,0,False,False
