"Table 2.8.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly",,,,,,,,,,,,,,,,,,,,,,,,
"Table 2.8.7. Percent Change From Preceding Period in Prices for Personal Consumption Expenditures by Major Type of Product, Monthly",,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: December 20, 2024 - Next Release Date January 31, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Line,,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
Line,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV
23,        Gross output of nonprofit institutions2,0.6,0,0.4,0.4,0.4,0.4,0.2,0.2,0.6,0.3,0.2,0.1,0.6,0.3,0.3,0.1,0.5,0.3,0.2,0.3,0.3,0.2,0.1
24,        Less: Receipts from sales of goods and services by nonprofit institutions3,0.3,0.3,0.3,0.5,0.3,0.2,0.3,0.1,0.1,0.6,0.3,0.2,0.7,0.2,0.2,0.2,0.2,0.3,0.1,0.3,0.2,0.4,0.2
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,
25,    PCE excluding food and energy4,0.5,0.4,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.1,0.1,0.2,0.5,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.3,0.3,0.1
26,"    PCE excluding food, energy, and housing4",0.4,0.3,0.2,0.3,0.2,0.2,0.1,0,0.3,0.1,0,0.1,0.5,0.2,0.3,0.2,0,0.2,0.1,0.1,0.2,0.2,0.1
27,    Energy goods and services5,1.4,-0.3,-2.8,1,-3.1,0.5,-0.1,4.9,1.3,-2.5,-1.8,-0.3,-1.4,2.3,1.1,1.2,-2.1,-2.1,0,-0.8,-2.1,-0.1,0.2
28,    PCE services excluding energy and housing,0.4,0.4,0.3,0.4,0.2,0.4,0.3,0.1,0.4,0.1,0.2,0.3,0.7,0.2,0.4,0.3,0.1,0.3,0.2,0.2,0.3,0.3,0.2
29,    Housing,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.3,0.4,0.2
30,    Market-based PCE6,0.5,0.4,0.1,0.3,0.1,0.1,0.2,0.3,0.3,0.1,0,0.1,0.3,0.3,0.3,0.2,0,0.1,0.2,0.1,0.1,0.2,0.1
31,    Market-based PCE excluding food and energy6,0.4,0.4,0.3,0.3,0.3,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.4,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",,,,,,,,,,,,,,,,,,,,,,,,
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software).",,,,,,,,,,,,,,,,,,,,,,,,
"3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees.",,,,,,,,,,,,,,,,,,,,,,,,
"4. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food.",,,,,,,,,,,,,,,,,,,,,,,,
5. Consists of gasoline and other energy goods and of electricity and gas services.,,,,,,,,,,,,,,,,,,,,,,,,
"6. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures.It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households.",,,,,,,,,,,,,,,,,,,,,,,,
